Resource,Max_Cap_1,Max_Cap_2,Max_Cap_3,Max_Cap_4,Max_Cap_5
Humboldt_Bay_Offshore_Wind,1,0,0,0,0
Morro_Bay_Offshore_Wind,1,0,0,0,0
New_Mexico_Wind,1,0,0,0,0
Northern_California_Wind,1,0,0,0,0
NW_Ext_Tx_Wind,1,0,0,0,0
Riverside_Palm_Springs_Wind,1,0,0,0,0
Wyoming_Wind,1,0,0,0,0
Arizona_Solar,0,1,0,0,0
Northern_California_Solar,0,1,0,0,0
Riverside_Solar,0,1,0,0,0
CAISO_New_Flow_Battery_12,0,0,1,0,0
CAISO_New_Flow_Battery_8,0,0,1,0,0
CAISO_New_LDES_Battery_12,0,0,1,0,0
Generic_6hr_battery,0,0,1,0,0
Generic_8hr_battery,0,0,1,0,0
Arizona_Li_Battery,0,0,1,0,0
CAISO_New_Flow_Battery,0,0,1,0,0
Northern_California_Li_Battery,0,0,1,0,0
Riverside_Li_Battery,0,0,1,0,0
Greater_Imperial_Geothermal,0,0,0,1,0
InState_Biomass,0,0,0,1,0
Northern_California_Geothermal,0,0,0,1,0
Southern_Nevada_Geothermal,0,0,0,1,0
Generic_4hr_battery_low_cost,0,0,0,0,1
Generic_6hr_battery_low_cost,0,0,0,0,1
Generic_8hr_battery_low_cost,0,0,0,0,1
