Resource,Fuel,Zone,AnnualSumCosts
CAISO_Advanced_CCGT_candidate,CA_Natural_Gas,1,0.005722416146155937
CAISO_Aero_CT_candidate,CA_Natural_Gas,1,0.006163898086084713
CAISO_Reciprocating_Engine_candidate,CA_Natural_Gas,1,0.004050126805374891
CAISO_Shed_DR_Tranche1,Conventional_DR,1,0.0
CAM_CAM_RA_i,Conventional_DR,1,0.0
CAM_CAM_RA_ii,Conventional_DR,1,0.0
CAM_CAM_RA_iii,Conventional_DR,1,0.0
CAM_CPE_RA_i,Conventional_DR,1,0.0
CAM_CPE_RA_ii,Conventional_DR,1,0.0
CAM_DR_RA,Conventional_DR,1,0.0
FishLake,Geothermal,1,0.0
Generic_RA_Only,Conventional_DR,1,0.0
Greater_Imperial_Geothermal,Geothermal,1,0.0
InState_Biomass,Biomass,1,0.0
Leapfrog_Power,Conventional_DR,1,0.0
Northern_California_Geothermal,Geothermal,1,0.0
Ormat_Portfolio,Geothermal,1,0.0
Southern_Nevada_Geothermal,Geothermal,1,0.0
Tierra_Buena,Conventional_DR,1,0.0
