Resource,Zone,Retrofit_Id,StartCap,RetCap,RetroCap,NewCap,EndCap,CapacityConstraintDual,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
CAISO_Advanced_CCGT_candidate,1,None,0.0,0.0,0.0,111.88043426175689,111.88043426175689,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAISO_Aero_CT_candidate,1,None,0.0,0.0,0.0,0.005413858382352757,0.005413858382352757,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAISO_Reciprocating_Engine_candidate,1,None,0.0,0.0,0.0,28.49161003612297,28.49161003612297,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAISO_Shed_DR_Tranche1,1,None,0.0,0.0,0.0,0.5721582144432498,0.5721582144432498,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAM_CAM_RA_i,1,None,5.4,0.0,0.0,0.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAM_CAM_RA_ii,1,None,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAM_CAM_RA_iii,1,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAM_CPE_RA_i,1,None,22.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAM_CPE_RA_ii,1,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAM_DR_RA,1,None,3.3,0.0,0.0,0.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Generic_RA_Only,1,None,0.0,0.0,0.0,0.000769966020751982,0.000769966020751982,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leapfrog_Power,1,None,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tierra_Buena,1,None,2.5,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aquamarine_Westside,1,None,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arizona_Solar,1,None,0.0,0.0,0.0,0.024166754554114503,0.024166754554114503,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Humboldt_Bay_Offshore_Wind,1,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Morro_Bay_Offshore_Wind,1,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NW_Ext_Tx_Wind,1,None,0.0,0.0,0.0,6.70589828664181e-5,6.70589828664181e-5,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New_Mexico_Wind,1,None,0.0,0.0,0.0,7.024024922140888e-5,7.024024922140888e-5,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Northern_California_Solar,1,None,0.0,0.0,0.0,0.0010318971228500606,0.0010318971228500606,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Northern_California_Wind,1,None,0.0,0.0,0.0,7.157492598947583e-5,7.157492598947583e-5,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Riverside_Palm_Springs_Wind,1,None,0.0,0.0,0.0,5.968650597586646e-5,5.968650597586646e-5,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Riverside_Solar,1,None,0.0,0.0,0.0,49.97480303511473,49.97480303511473,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wyoming_Wind,1,None,0.0,0.0,0.0,7.12221402758826e-5,7.12221402758826e-5,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arizona_Li_Battery,1,None,0.0,0.0,0.0,14.980487377853969,14.980487377853969,-0.0,0.0,0.0,59.921949511415875,59.921949511415875,0.0,0.0,0.0,0.0
CAISO_New_Flow_Battery,1,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAISO_New_Flow_Battery_12,1,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAISO_New_Flow_Battery_8,1,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAISO_New_LDES_Battery_12,1,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC_Power_GoalLine,1,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC_Power_Tumbleweed,1,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Generic_4hr_battery_low_cost,1,None,0.0,0.0,0.0,0.0136222603870858,0.0136222603870858,-0.0,0.0,0.0,0.0544890415483432,0.0544890415483432,0.0,0.0,0.0,0.0
Generic_6hr_battery,1,None,0.0,0.0,0.0,0.04689325393572042,0.04689325393572042,-0.0,0.0,0.0,0.28135952361432254,0.28135952361432254,0.0,0.0,0.0,0.0
Generic_6hr_battery_low_cost,1,None,0.0,0.0,0.0,2.655494370339535,2.655494370339535,-0.0,0.0,0.0,15.93296622203721,15.93296622203721,0.0,0.0,0.0,0.0
Generic_8hr_battery,1,None,0.0,0.0,0.0,0.011647432202783664,0.011647432202783664,-0.0,0.0,0.0,0.09317945762226931,0.09317945762226931,0.0,0.0,0.0,0.0
Generic_8hr_battery_low_cost,1,None,0.0,0.0,0.0,2.330887829130722,2.330887829130722,-0.0,0.0,0.0,18.647102633045776,18.647102633045776,0.0,0.0,0.0,0.0
Northern_California_Li_Battery,1,None,0.0,0.0,0.0,14.980487377853969,14.980487377853969,-0.0,0.0,0.0,59.921949511415875,59.921949511415875,0.0,0.0,0.0,0.0
Riverside_Li_Battery,1,None,0.0,0.0,0.0,14.980487377853969,14.980487377853969,-0.0,0.0,0.0,59.921949511415875,59.921949511415875,0.0,0.0,0.0,0.0
Riverside_West_Pumped_Storage,1,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tehachapi_Pumped_Storage,1,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FishLake,1,None,0.4,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greater_Imperial_Geothermal,1,None,0.0,0.0,0.0,8.606150277843477e-9,8.606150277843477e-9,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
InState_Biomass,1,None,0.0,0.0,0.0,4.545353169949445e-9,4.545353169949445e-9,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Northern_California_Geothermal,1,None,0.0,0.0,0.0,8.608694802406793e-9,8.608694802406793e-9,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ormat_Portfolio,1,None,4.6,0.0,0.0,0.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Southern_Nevada_Geothermal,1,None,0.0,0.0,0.0,8.016715402878048e-9,8.016715402878048e-9,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IndianValley_Hydro,1,None,2.9,0.0,0.0,0.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GibsonSolar,1,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PutahCreek,1,None,3.0,0.0,0.0,0.0,3.0,0.0,12.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0
Resurgence_Hybrid,1,None,90.0,0.0,0.0,0.0,90.0,0.0,300.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0
WillowSpringsSolar,1,None,72.0,0.0,0.0,0.0,72.0,0.0,144.0,0.0,0.0,144.0,0.0,0.0,0.0,0.0
Total,n/a,n/a,263.3,0.0,0.0,240.95073511565687,504.2507351156569,n/a,456.0,0.0,214.77494541211553,670.7749454121156,0.0,0.0,0.0,0.0
